l_GA_30_105.dot	C	21	16	30,105	30:28-35:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0|105:96-102:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
l_GA_30_120.dot	C	21	16	30,120	30:28-35:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0|120:103-110:0:0:0:0:22:0:0:0:0:0:0:0:0:22:0
l_GA_30_90.dot	C	20	16	30,90	30:28-35:0:0:0:0:4:0:0:0:0:0:0:0:0:4:0|90:96-102:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0
l_GA_40_105.dot	C	21	16	40,105	40:36-42:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0|105:88-95:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
l_GA_40_120.dot	C	21	16	40,120	40:28-35:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0|120:96-102:0:0:0:0:22:0:0:0:0:0:0:0:0:22:0
l_GA_40_90.dot	C	20	16	40,90	40:36-42:0:0:0:0:6:0:0:0:0:0:0:0:0:6:0|90:88-95:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0
l_GA_45_105.dot	C	21	16	45,105	45:36-42:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0|105:88-95:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
l_GA_45_120.dot	C	21	16	45,120	45:34-35:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0|120:88-95:0:0:0:0:22:0:0:0:0:0:0:0:0:22:0
l_GA_45_90.dot	C	20	16	45,90	45:43-50:0:0:0:0:7:0:0:0:0:0:0:0:0:7:0|90:81-87:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0
l_GA_50_105.dot	C	22	16	50,105	50:36-42:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0|105:88-95:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
l_GA_50_120.dot	C	22	16	50,120	50:36-42:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0|120:88-95:0:0:0:0:22:0:0:0:0:0:0:0:0:22:0
l_GA_50_90.dot	C	20	16	50,90	50:43-50:0:0:0:0:8:0:0:0:0:0:0:0:0:8:0|90:81-87:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0
l_GA_55_105.dot	C	22	16	55,105	55:43-50:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0|105:81-87:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
l_GA_55_120.dot	C	22	16	55,120	55:36-41:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0|120:88-95:0:0:0:0:22:0:0:0:0:0:0:0:0:22:0
l_GA_55_90.dot	C	21	16	55,90	55:43-50:0:0:0:0:9:0:0:0:0:0:0:0:0:9:0|90:81-87:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0
l_GA_61_105.dot	C	22	16	61,105	61:45-51:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0|105:81-87:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
l_GA_61_120.dot	C	22	16	61,120	61:43-44:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0|120:81-87:0:0:0:0:22:0:0:0:0:0:0:0:0:22:0
l_GA_61_90.dot	C	21	16	61,90	61:52-59:0:0:0:0:11:0:0:0:0:0:0:0:0:11:0|90:73-80:0:0:0:0:16:0:0:0:0:0:0:0:0:16:0
l_GA_66_105.dot	C	22	16	66,105	66:49-51:0:0:0:0:12:0:0:0:0:0:0:0:0:12:0|105:79-80:0:0:0:0:19:0:0:0:0:0:0:0:0:19:0
